frame_number,x,y,width,height,status,fps
154,100,77,69,135,TRACKING,21.6181
155,102,75,69,135,TRACKING,19.427
156,101,76,69,135,TRACKING,23.8832
157,101,76,69,135,TRACKING,24.6231
158,101,75,69,135,TRACKING,24.1012
159,101,75,69,135,TRACKING,24.7017
160,100,75,69,135,TRACKING,25.2586
161,100,74,69,135,TRACKING,25.6639
162,100,74,69,135,TRACKING,23.1037
163,99,74,69,135,TRACKING,22.5368
164,99,74,69,135,TRACKING,24.6004
165,99,74,69,135,TRACKING,25.2434
166,99,75,69,135,TRACKING,23.7919
167,98,74,69,135,TRACKING,24.3118
168,98,74,69,135,TRACKING,23.1577
169,98,74,69,135,TRACKING,21.8803
170,98,73,69,135,TRACKING,23.6568
171,97,73,69,135,TRACKING,23.6824
172,97,73,69,135,TRACKING,22.9529
173,97,72,69,135,TRACKING,22.8915
174,97,72,69,135,TRACKING,24.7254
175,97,72,69,135,TRACKING,24.4437
176,97,73,69,135,TRACKING,23.4163
177,97,73,69,135,TRACKING,23.3502
178,98,73,69,135,TRACKING,23.5901
179,97,73,69,135,TRACKING,24.0779
180,98,73,69,135,TRACKING,23.9928
181,97,73,69,135,TRACKING,23.9353
182,97,72,69,135,TRACKING,23.0712
183,98,71,69,135,TRACKING,24.017
184,99,71,69,135,TRACKING,22.8347
185,99,71,69,135,TRACKING,23.137
186,98,72,69,135,TRACKING,23.4406
187,98,72,69,135,TRACKING,23.9428
188,97,73,69,135,TRACKING,22.902
189,97,72,69,135,TRACKING,23.8923
190,96,72,69,135,TRACKING,22.8353
191,96,73,69,135,TRACKING,23.8646
192,96,72,69,135,TRACKING,22.3257
193,96,73,69,135,TRACKING,21.6448
194,96,74,69,135,TRACKING,22.5856
195,97,74,69,135,TRACKING,24.1308
196,97,75,69,135,TRACKING,20.2393
197,97,77,69,135,TRACKING,23.734
198,97,78,69,135,TRACKING,23.465
199,96,78,69,135,TRACKING,23.2905
200,96,78,69,135,TRACKING,23.8062
201,96,78,69,135,TRACKING,12.6
202,96,78,69,135,TRACKING,14.4273
203,96,78,69,135,TRACKING,22.6467
204,97,78,69,135,TRACKING,22.1999
205,97,78,69,135,TRACKING,21.568
206,98,78,69,135,TRACKING,22.3894
207,98,78,69,135,TRACKING,20.823
208,99,78,69,135,TRACKING,22.3634
209,99,78,69,135,TRACKING,20.2805
210,99,78,69,135,TRACKING,19.8579
211,99,78,69,135,TRACKING,21.1607
212,100,78,69,135,TRACKING,22.7806
213,101,78,69,135,TRACKING,23.1361
214,101,78,69,135,TRACKING,22.6166
215,101,78,69,135,TRACKING,17.9242
216,101,78,69,135,TRACKING,23.4733
217,101,78,69,135,TRACKING,23.6691
218,101,77,69,135,TRACKING,23.8342
219,101,77,69,135,TRACKING,23.7562
220,101,78,69,135,TRACKING,21.4937
221,101,78,69,135,TRACKING,22.0897
222,101,79,69,135,TRACKING,20.2932
223,101,79,69,135,TRACKING,20.5425
224,102,78,69,135,TRACKING,18.3248
225,101,79,69,135,TRACKING,22.0139
226,102,79,69,135,TRACKING,21.9137
227,103,80,69,135,TRACKING,22.2662
228,103,80,69,135,TRACKING,18.2042
229,103,81,69,135,TRACKING,20.3524
230,103,81,69,135,TRACKING,20.6994
231,104,81,69,135,TRACKING,20.1362
232,103,81,69,135,TRACKING,18.3495
233,104,82,69,135,TRACKING,21.6033
234,104,82,69,135,TRACKING,21.2306
235,104,83,69,135,TRACKING,20.7593
236,104,83,69,135,TRACKING,19.6614
237,105,82,69,135,TRACKING,20.871
238,105,83,69,135,TRACKING,19.8656
239,105,82,69,135,TRACKING,19.1033
240,105,82,69,135,TRACKING,20.8402
241,105,83,69,135,TRACKING,14.4028
242,106,83,69,135,TRACKING,20.3615
243,105,83,69,135,TRACKING,14.7387
244,105,84,69,135,TRACKING,21.1777
245,106,84,69,135,TRACKING,19.5176
246,106,85,69,135,TRACKING,20.9409
247,106,85,69,135,TRACKING,18.0697
248,106,86,69,135,TRACKING,19.4386
249,107,85,69,135,TRACKING,20.4015
250,106,85,69,135,TRACKING,19.2211
251,106,85,69,135,TRACKING,19.6833
252,107,85,69,135,TRACKING,20.1191
253,108,85,69,135,TRACKING,17.2952
254,108,84,69,135,TRACKING,18.1332
255,109,84,69,135,TRACKING,19.8602
256,108,85,69,135,TRACKING,19.6269
257,110,84,69,135,TRACKING,18.5365
258,110,84,69,135,TRACKING,18.0907
259,110,84,69,135,TRACKING,19.3249
260,110,84,69,135,TRACKING,18.8347
261,111,84,69,135,TRACKING,20.2582
262,111,84,69,135,TRACKING,19.8603
263,111,84,69,135,TRACKING,20.4393
264,111,85,69,135,TRACKING,15.6164
265,112,85,69,135,TRACKING,18.0084
